Input sentence,Output sentence
"சுதாமதி மணிமேகலை, உதயகுமாரன் மீது சிறிதும் விருப்பமில்லை என்றும் அவள் துறவி வாழ்க்கையை மட்டுமே விரும்புகிறாள் என்றும் கூறினாள். ","சுதாமதி, மணிமேகலைக்கு உதயகுமாரன் மீது சிறிதும் விருப்பமில்லை என்றும் அவள் துறவி வாழ்க்கையை மட்டுமே விரும்புகிறாள் என்றும் கூறினாள். "
உதயகுமாரனன மறைந்திருத்த கண்ட மணிமேகலை உதயகுமாரன் மீது சிறிதளவு ஆர்வம் ஏறப்பட்டது. ,உதயகுமாரன் மறைந்திருந்ததை கண்ட மணிமேகலைக்கு உதயகுமாரன் மீது சிறிதளவு ஆர்வம் ஏறப்பட்டது. 
எனினும் தன் அவள் மனதைக் கட்டுப்படித்திக்கொண்டாள். ,எனினும் அவள் தன் மனதைக் கட்டுப்படித்திக்கொண்டாள். 
"அப்போது, ""மணிமேகலா"" தெய்வம் மணிமேலை மற்றும் சுதாமதி முன்பு தோன்றி மணிமேகலையிடம் ""அமுத சுரபி"" எனும் பாத்திரத்தைக் குடுத்து மணிப்பவளம் என்னும் தீவிற்கு அழைத்துச் சென்றது.","அப்போது,  ""மணிமேகலா"" தெய்வம் மணிமேகலை மற்றும் சுதாமதி முன்பு தோன்றி மணிமேகலையிடம் ""அமுத சுரபி"" எனும் பாத்திரத்தைக் குடுத்து மணிப்பவளம் என்னும் தீவிற்கு அழைத்துச் சென்றது."
மணிப்பவளத் தீவில் உதயகுமாரன் வரமாட்டாள் என்றும் அமுத சுரபியைக் கொண்டு தனது பசியையும் ஏழை எளிய மக்களின் பசியையும் போக்குமாறு மணிமேகலா தெய்வம் கூறியது.    ,மணிப்பவளத் தீவில் உதயகுமாரன் வரமாட்டான் என்றும் அமுத சுரபியைக் கொண்டு தனது பசியையும் ஏழை எளிய மக்களின் பசியையும் போக்குமாறு மணிமேகலா தெய்வம் கூறியது.    
மணிமேகைைலயும் அமுத சுரபியைப் பயன்படுத்தி தனது பசியையும் மணிப்பவளத்தில் வாழும் ஏழை எளிய மக்களின் பசியையும் போக்கி வந்தான்.,மணிமேகைைலயும் அமுத சுரபியைப் பயன்படுத்தி தனது பசியையும் மணிப்பவளத்தில் வாழும் ஏழை எளிய மக்களின் பசியையும் போக்கி வந்தாள்.
அமுத சுரபியானது ஆபுத்திரன் எனும் ஒருத்தியிடம் இருந்தது.,அமுத சுரபியானது ஆபுத்திரன் எனும் ஒருவரிடம் இருந்தது.
அவன் பாண்டிய நாட்டைச் சேர்ந்த மதுரையில் இருந்தாள். ,அவன் பாண்டிய நாட்டைச் சேர்ந்த மதுரையில் இருந்தான். 
அப்போது சினத்தால் இந்திரனின் மதுரைக்கு மழை கிடைக்கவில்லை.,அப்போது இந்திரனின் சினத்தால் மதுரைக்கு மழை கிடைக்கவில்லை.
அதனால்தான் அமுத சுரபி வந்தடைந்தது ஆபுத்திரனிடம் .,அப்போதுதான் ஆபுத்திரனிடம் அமுத சுரபி வந்தடைந்தது.
மழை இல்லாமல் செய்ய விவசாயம் முடியாமல் இருந்த மக்கள் பசியால் வாடினர். ,மழை இல்லாமல் விவசாயம் செய்ய முடியாமல் இருந்த மக்கள் பசியால் வாடினர். 
அவர்களுக்கு அமுத சுரபியை ஆபுத்திரன் கொண்டு பசியைப் போக்கினான்.,அவர்களுக்கு அமுத சுரபியைக் கொண்டு ஆபுத்திரன் பசியைப் போக்கினான்.
இந்திரனுக்கு கோபம் மேலும் வந்தது.,இந்திரனுக்கு மேலும் கோபம் வந்தது.
இதனால் அதிகம் மழையை வரவழைத்து வெள்ளத்தை உருவாக்கினான் இந்திரன்.,இதனால் அதிக மழையை வரவழைத்து வெள்ளத்தை உருவாக்கினான் இந்திரன்.
அமுத சுரபியால் வேலை இல்லாமல் சென்றது.,அமுத சுரபிக்கு வேலை இல்லாமல் சென்றது.
அதனால் ஜாவா தீவுக்கு நோக்கி பயணித்தான் ஆபுத்திரன்.,அதனால் ஜாவா தீவை நோக்கி பயணித்தான் ஆபுத்திரன்.
ஜாவா தீவால் மழை இல்லாமல் மக்கள் துன்பத்தில் இருந்தனர்.,ஜாவா தீவிலும் மழை இல்லாமல் மக்கள் துன்பத்தில் இருந்தனர்.
ஜாவா தீவு அடைய முடியாத ஆபுத்திரன் மணிப்பவளத்தில் வந்து இரங்கினான்.,ஜாவா தீவை அடைய முடியாத ஆபுத்திரன் மணிப்பவளத்தில் வந்து இறங்கினான்.
இவ்வாறாகத் தான் அமுத சுரபிக்கு மணிப்பவலத்திற்கு வந்தடைந்தது.,இவ்வாறாகத் தான் அமுத சுரபி மணிப்பவளத்திற்கு வந்தடைந்தது.
மணிமேகலை மணிப்பவளத்தை இருப்பதைக் கன்டறிந்தான் உதயகுமாரன்.,மணிமேகலை மணிப்பவளத்தில் இருப்பதைக் கண்டறிந்தான் உதயகுமாரன்.
உதயகுமாரனிடமிருந்து தப்பித்துக் கொள்ளத் தன்னை வித்யாதரனின் மனைவியான காயசண்டிகையாகத் தன் உருவத்தை மாற்றிக் காெண்டாள். மணிமேகலையின் குருவாக பெளத்த முனிவர் அரவண அடிகள் இருந்தனர்.,உதயகுமாரனிடமிருந்து தப்பித்துக் கொள்ளத் தன்னை வித்யாதரனின் மனைவியான காயசண்டிகையாகத் தன் உருவத்தை மாற்றிக் காெண்டாள். மணிமேகலையின் குருவாக பெளத்த முனிவர் அரவண அடிகள் இருந்தார்.
அவர் மணிமேகலையின் முன் ஜென்ம கதைகளை அறிந்திருந்தனர்.,அவர் மணிமேகலையின் முன் ஜென்ம கதைகளை அறிந்திருந்தார்.
"மணிமேகலையின் தாயான மாதவியும், தோழியான சுதாமதியும் முன் ஜென்மத்தில் மணிமேகலையின் சகோதரிகளாக இருந்தனர் எனக் கூறினார்கள் அரவண அடிகள்.","மணிமேகலையின் தாயான மாதவியும், தோழியான சுதாமதியும் முன் ஜென்மத்தில் மணிமேகலையின் சகோதரிகளாக இருந்தனர் எனக் கூறினார் அரவண அடிகள்."
மேலும் உதயகுமாரன் முன் சென்மத்தில் மணிமேகலையின் கணவனாக இருந்ததாகக் கூறினார் அரவண அடிகள்.,மேலும் உதயகுமாரன் முன் ஜென்மத்தில் மணிமேகலையின் கணவனாக இருந்ததாகக் கூறினார் அரவண அடிகள்.
"முன் ஜென்மத்தில் உதயகுமாரன் பெளத்த துறவி ஒருவருக்கு உதவாமல் தீங்கு விழைவித்ததாகவும், மணிமேகலையோ அவருக்கு உதவியாதகவும் கூறினார் அரவண அடிகள்.","முன் ஜென்மத்தில் உதயகுமாரன் பெளத்த துறவி ஒருவருக்கு உதவாமல் தீங்கு விளைவித்ததாகவும், மணிமேகலையோ அவருக்கு உதவியாதகவும் கூறினார் அரவண அடிகள்."
இந்த தீய கர்ம வினையினாலேயே இஜ்ஜென்மத்தில் உதயகுமாரன் தண்டிக்கப்பட்டு வருத்தமடைவான் என்று கூறினார் அரவண அடிகள்.,இந்த தீய கர்ம வினையினாலேயே இந்த ஜென்மத்தில் உதயகுமாரன் தண்டிக்கப்பட்டு வருத்தமடைவான் என்று கூறினார் அரவண அடிகள்.
வித்யாதரன் மணிமேகலைத் தான் தனது மனைவி காயசண்டிகை உருவத்தில் இருப்பது தெறியாது.,வித்யாதரன் மணிமேகலைத் தான் தனது மனைவி காயசண்டிகை உருவத்தில் இருப்பது தெரியாது.
அவளிடம் ஆசா வார்த்தைகளால் பேசினான் வித்யாதரன்.,அவளிடம் ஆசை வார்த்தைகளால் பேசினான் வித்யாதரன்.
ஆதனால் காயசண்டிகை (மணிமேகலை) அவ்வார்த்தைகளை சிறிதும் பொருட்படுத்தாமல் மறுத்துவிட்டாள்.,ஆனால் காயசண்டிகை (மணிமேகலை) அவ்வார்த்தைகளை சிறிதும் பொருட்படுத்தாமல் மறுத்துவிட்டாள்.
அப்போதால் உதயகுமாரன் அங்கு வந்தடைந்தான்.,அப்போது உதயகுமாரன் அங்கு வந்தடைந்தான்.
இதனால் மறைந்து இருந்து பார்த்தாள் வித்யாதரன்.,இதனால் மறைந்து இருந்து பார்த்தான் வித்யாதரன்.
உதயகுமாரனும் மணிமேகலைத் தான் காயசண்டிகை உருவத்தில் இருப்பது என எப்படியோ அறிந்து கொண்டாள்.,உதயகுமாரனும் மணிமேகலைத் தான் காயசண்டிகை உருவத்தில் இருப்பது என எப்படியோ அறிந்து கொண்டான்.
அவளிடம் வித்யாதரனைப் போன்றே ஆசை வார்த்தைகளால் பேசினாள் உதயகுமாரன்.,அவளிடம் வித்யாதரனைப் போன்றே ஆசை வார்த்தைகளால் பேசினான் உதயகுமாரன்.
காயசண்டிகையோ (மணிமேகலையோ) சிறிது சிரித்துவிட்டு உதயகுமாரனை மருத்துவிட்டாள்.,காயசண்டிகையோ (மணிமேகலையோ) சிறிது சிரித்துவிட்டு உதயகுமாரனை மறுத்துவிட்டாள்.
"தன் மனைவி வேறொரு ஆணைக் கண்டு சிரிப்பதைப் பார்த்த வித்யாதரன், உதயகுமாரனை அப்போதே கொன்று விட்டாண்.","தன் மனைவி வேறொரு ஆணைக் கண்டு சிரிப்பதைப் பார்த்த வித்யாதரன், உதயகுமாரனை அப்போதே கொன்று விட்டான்."
பிறகு மணிமேகலைத் தான் தன் மனைவி உருவத்தில் இருப்பதை அரிந்ததும் மிகவும் வருத்தம் கொண்டான்.,பிறகு மணிமேகலைத் தான் தன் மனைவி உருவத்தில் இருப்பதை அறிந்ததும் மிகவும் வருத்தம் கொண்டான்.
மணிமேகலையும் உதயகுமாரனின் மரணம் அடைந்ததை கண்டு மிகவும் வருந்தினாள்.,மணிமேகலையும் உதயகுமாரன் மரணம் அடைந்ததை கண்டு மிகவும் வருந்தினாள்.
தன் மகள் மரணம் அடைந்ததற்கு முக்கிய காரணமான மணிமேகலையைச் சிறையில் அடைத்தார் காவேரிப்படின அரசர்.,தன் மகன் மரணம் அடைந்ததற்கு முக்கிய காரணமான மணிமேகலையைச் சிறையில் அடைத்தார் காவேரிப்படின அரசர்.
காவேரிப்பட்டின அரசி மணிமேகலையைக் கொன்றுவிட முயற்சி செய்தான்.,காவேரிப்பட்டின அரசி மணிமேகலையைக் கொன்றுவிட முயற்சி செய்தாள்.
ஆனால் மணிமேகலா தெய்வம் தோன்றி அவர்களை அச்சம் செய்தது. ,ஆனால் மணிமேகலா தெய்வம் தோன்றி அவர்களை அச்சுறுத்தியது. 
இதணால் மணிமேகலை விடுதலை செய்யப்பட்டாள்.,இதனால் மணிமேகலை விடுதலை செய்யப்பட்டாள்.
பிறகு சேர நாட்டின் பகுதியான வஞ்சிக்கு வந்தடைந்தால் மணிமேகலை.,பிறகு சேர நாட்டின் பகுதியான வஞ்சிக்கு வந்தடைந்தாள் மணிமேகலை.
அங்கு பல சித்தாந்த வல்லுணர்களுக்கு எதிராக விவாதம் புரிந்து பெளத்த சித்தாந்தத்தின் பெருமையை எடுத்துரைத்து வென்றாள்.,அங்கு பல சித்தாந்த வல்லுனர்களுக்கு எதிராக விவாதம் புரிந்து பெளத்த சித்தாந்தத்தின் பெருமையை எடுத்துரைத்து வென்றாள்.
இறுதியாக மணிமேகலை மொட்சம் அடைந்தார்.,இறுதியாக மணிமேகலை மோட்சம் அடைந்தார்.
நமது சமூகம் இன்றைய காலக்கட்டத்தில் பெறிதும் மாசை பாதிப்படைகிறது.,நமது சமூகம் இன்றைய காலக்கட்டத்தில் பெரிதும் மாசால் பாதிப்படைகிறது.
"காற்று மாசு, நீர் மாசு, ஒலி மாசு, ஒளி மாசு, நில மாசு என பல்வகை மாசு உன்டு.","காற்று மாசு, நீர் மாசு, ஒலி மாசு, ஒளி மாசு, நில மாசு என பல்வகை மாசுகள் உண்டு."
காற்று மாசுகள்:-,காற்று மாசு:-
முக்கிய காரனம்:-,முக்கிய காரணங்கள்:-
-பெறுகி வரும் தொழிற்சாலை,-பெருகி வரும் தொழிற்சாலைகள்
-போக்குவரத்து வாகணங்கள்,-போக்குவரத்து வாகனங்கள்
-புகையிலையில் இறுந்து வரும் புகை,-புகையிலையில் இருந்து வரும் புகை
-நெகிழி எறித்தல்,-நெகிழி எரித்தல்
-குப்பை எறித்தல்,-குப்பை எரித்தல்
காற்று மாசு அடைவதால் ஓஜோன் படலத்தில் ஓட்டை விழுகிறது. ,காற்று மாசு அடைவதால் ஓசோன் படலத்தில் ஓட்டை விழுகிறது. 
இதனால் கதிரவனின் புரஊதாக் கதிர்கள் நம் பூமியை வந்தடைந்து நமது தோலிற்கு புற்றுநோயை விளைவிக்கிறது.,இதனால் கதிரவனின் புறஊதாக் கதிர்கள் நம் பூமியை வந்தடைந்து நமது தோலிற்கு புற்றுநோயை விளைவிக்கிறது.
மேலும் நமது சுவாசத்திற்கும் பல தீங்கு விழைவிக்கிறது.,மேலும் நமது சுவாசத்திற்கும் பல தீங்கு விளைவிக்கிறது.
நுரையீறல் புற்றுநோய் கூட ஏற்படுகின்றன.,நுரையீரல் புற்றுநோய் கூட ஏற்படும்.
தவிற்கும் வழிகள்:-,தவிர்க்கும் வழிகள்:-
-புகைப் பிடிப்பதை தவிற்போம்.,-புகைப் பிடிப்பதை தவிர்ப்போம்.
-குப்பைகளை எறிப்பதை தடுப்போம்.,-குப்பைகளை எரிப்பதை தடுப்போம்.
-முடிந்தவரை தனிவாகனங்களைப் பயன்படுத்தாமல் பேருந்து மெட்ரோ போன்வற்றையே பயன்படுத்துவோம்.,"-முடிந்தவரை தனிவாகனங்களைப் பயன்படுத்தாமல் பேருந்து, மெட்ரோ போன்வற்றையே பயன்படுத்துவோம்."
நீர் மாசு;-,நீர் மாசு:-
முக்கிய காரணங்கள்;-,முக்கிய காரணங்கள்:-
-கப்பல்/படுகு போன்றவற்றில் இருந்து கடலில் தள்ளப்படும் கழிவுகள்,-கப்பல்/படகு போன்றவற்றில் இருந்து கடலில் தள்ளப்படும் கழிவுகள்
-தொழிற்சாலைகளின் கழிவுகள் நதி கடல் போன்றவற்றில் தள்ளப்படுதல்.,"-தொழிற்சாலைகளின் கழிவுகள் நதி, கடல் போன்றவற்றில் தள்ளப்படுதல்."
-கழிவு நீரைக் தள்ளுதல் கடலில்,-கழிவு நீரைக் கடலில் தள்ளுதல்
விழைவுகள்:-,விளைவுகள்:-
-மீன்கள் போகும் இறந்து.,-மீன்கள் இறந்து போகும்
-குடிநீருக்கு நாம் நதி நீரை இயலாது பயன்படுத்த.,-குடிநீருக்கு நாம் நதி நீரைப் பயன்படுத்த இயலாது.
கட்டுப்படுத்தும் வழிகள்;-,கட்டுப்படுத்தும் வழிகள்:-
-படகு கப்பல் கழிவுகளை கடலில் போடாமல் பயணம் முடிந்ததும் கறைக்கு வந்து கழிவு செய்வது அவசியம்,"-படகு, கப்பல் கழிவுகளை கடலில் போடாமல் பயணம் முடிந்ததும் கறைக்கு வந்து கழிவு செய்வது அவசியம்"
-கழிவு நீீரைக் கடலில் கழிப்பதற்கு முன்பு அதனை நவீன தொழில்நுட்பத்தைக் கொண்டு சுத்தம் செய்பது மீண்டும் பயன்படுத்திக் கொள்ளலாம்.,-கழிவு நீீரைக் கடலில் கழிப்பதற்கு முன்பு அதனை நவீன தொழில்நுட்பத்தைக் கொண்டு சுத்தம் செய்து மீண்டும் பயன்படுத்திக் கொள்ளலாம்.
-தொழிற்சாலைக் கழிவுகளை ஆறு கடல் போன்றவற்றில் கழிப்பதற்கு முன்பு அவற்றை நவீன தொழில்நுட்பம் வாயிலாக சிறிது சுத்தம் செய்து அல்லது மிகவும் தீங்கு விளைவிக்கும் பொருட்களை அகற்றி விட்டு கழிவு செய்யலாம்.,"-தொழிற்சாலைக் கழிவுகளை ஆறு, கடல் போன்றவற்றில் கழிப்பதற்கு முன்பு அவற்றை நவீன தொழில்நுட்பம் வாயிலாக சிறிது சுத்தம் செய்து அல்லது மிகவும் தீங்கு விளைவிக்கும் பொருட்களை அகற்றி விட்டு கழிவு செய்யலாம்."
ஒலி மாசு;-,ஒலி மாசு:-
காரணங்கள்;-,காரணங்கள்:-
-ஒளிப்பெருக்கி பயன்படுத்துதல்,-ஒலிப்பெருக்கி பயன்படுத்துதல்
இருண்டு ஆண்டுகளில் இயல்பு வாழ்க்கைக்குத் திரும்பினார்.,இரண்டு ஆண்டுகளில் இயல்பு வாழ்க்கைக்குத் திரும்பினோம்.
இது போல் அறிவியல் பல நன்மைகளும் ஏற்பட்டுள்ளது.,இது போல்  அறிவியலால் பல நன்மைகளும் ஏற்பட்டுள்ளது.
