Input sentence,Output sentence
എന്നാൽ പലപ്പോഴും ഇത് ഒരു ചതിയിലേക്കാണ് അവരെ എത്തിക്കുന്നത്.,"എന്നാൽ, പലപ്പോഴും ഇത് ഒരു ചതിയിലേക്കാണ് അവരെ എത്തിക്കുന്നത്."
ബെറ്റിങ് ആപ്പ് കാരണം ജീവനൊടുക്കിയ ഒരുപാട് 1. വാർത്തകൾ നമ്മൾ കാണുന്നുണ്ട്.,ബെറ്റിങ് ആപ്പ് കാരണം ജീവനൊടുക്കിയ ഒരുപാട് 1. ആളുകളുടെ  വാർത്തകൾ നമ്മൾ കാണുന്നുണ്ട്.
ആരാണ് ഇവയെ പരസ്യം ചെയ്യുന്നത് ?,ആരാണ് ഇവ പരസ്യം ചെയ്യുന്നത് ?
ഈ പറഞ്ഞ ഇൻഫ്ലുവൻസർസ്.,ഈ പറഞ്ഞ ഇൻഫ്ലുവൻസേർസ്.
എല്ലാവരേയും പറ്റി ഇല്ല ഈ പറയുന്നത്.,എല്ലാവരേയും പറ്റി അല്ല ഈ പറയുന്നത്.
ചില ചെറുകിട ഇൻഫ്ലുവൻസേർസ് പണത്തിനു വേണ്ടി എന്തും പരസ്യം കൊടുക്കും.,ചില ചെറുകിട ഇൻഫ്ലുവൻസേർസ് പണത്തിനു വേണ്ടി എന്ത് പരസ്യവും ചെയ്യും .
ഈ 1. സാമൂഹ്യമാധ്യമങ്ങളിൽ അവരെ കണ്ട് ഇഷ്ടപ്പെട്ട് ആരാധിക്കുന്നവർ കരുതുന്നത് ഈ പറഞ്ഞവർ ഇതൊക്കെ സ്വന്തം കൂട്ടുകാരന് അല്ലെങ്കിൽ അനിയൻ/ അനിയത്തിക്ക് പറഞ്ഞുകൊടുക്കുന്നത് പോലെ 2. പറയുന്നതാണെന്ന്.,ഈ 1. സമൂഹമാധ്യമങ്ങളിൽ അവരെ കണ്ട് ഇഷ്ടപ്പെട്ട് ആരാധിക്കുന്നവർ കരുതുന്നത് ഈ പറഞ്ഞവർ ഇതൊക്കെ സ്വന്തം കൂട്ടുകാരന് അല്ലെങ്കിൽ അനിയൻ/ അനിയത്തിക്ക് പറഞ്ഞുകൊടുക്കുന്നത് പോലെ 2. ആണെന്നാണ് .
അവർക്കറിയില്ലല്ലോ ഇതിന്റെ പന്നിലെ ചതി.,അവർക്കറിയില്ലല്ലോ ഇതിന്റെ പിന്നിലെ ചതി.
എത്രയോ പേർ ഇങ്ങനെ ഈ തരം ആപ്പുകൾ ഉപയോഗിച്ച് ആപ്പിലായി.,എത്രയോ പേർ ഇങ്ങനെ ഇത്തരം ആപ്പുകൾ ഉപയോഗിച്ച് ആപ്പിലായി.
ചിലർക്ക് ജീവൻ നഷ്ടപ്പട്ടു.,ചിലർക്ക് ജീവൻ നഷ്ടപ്പെട്ടു.
പരസ്യങ്ങൾ മാത്രമല്ല ആളുകളെ സ്വാദീനിക്കുന്നത്.,പരസ്യങ്ങൾ മാത്രമല്ല ആളുകളെ സ്വാധീനിക്കുന്നത്.
ഈ ഇൻഫ്ലുവൻസർസ് കാണിക്കുന്നത് കണ്ടിട്ടാണ് കുട്ടികൾ ഇന്ന് വളരുന്നത്.,ഈ ഇൻഫ്ലുവൻസേർസ് കാണിക്കുന്നത് കണ്ടിട്ടാണ് കുട്ടികൾ ഇന്ന് വളരുന്നത്.
ഇപ്പോൾ കാണുന്നില്ലെ പല പ്രമുഖ 1. സാമൂഹ്യമാധ്യമങ്ങളിലും തെറിവിളിയും അശ്ലീല വർത്തമാനങ്ങളും എന്തോ മികച്ച 2. ഒന്ന് എന്ന പോലെയാണ്.,ഇപ്പോൾ കാണുന്നില്ലെ പല പ്രമുഖ 1. സമൂഹമാധ്യമങ്ങളിൽ തെറിവിളിയും അശ്ലീല വർത്തമാനങ്ങളും എന്തോ മികച്ച 2. കാര്യം പോലെയാണ് പറയുന്നത് .
എത്രയോ ഗെയിം സ്ട്രീമർമാർ തെറിവിളിയും അലീല ആംഗ്യങ്ങളും കൊണ്ട് പ്രമുഖരായവരാണ്.,എത്രയോ ഗെയിം സ്ട്രീമർമാർ തെറിവിളിയും അശ്‌ളീല ആംഗ്യങ്ങളും കൊണ്ട് പ്രമുഖരായവരാണ്.
കുട്ടികൾ ആകട്ടെ ഇവരെ ആരാധിച്ച് ഇവരെപ്പോലെ ആകാൻ ശ്രമിക്കുന്നു.,കുട്ടികളാകട്ടെ ഇവരെ ആരാധിച്ച് ഇവരെപ്പോലെ ആകാൻ ശ്രമിക്കുന്നു
ഇതിൽ പലതും സ്ത്രീവിരുദ്ധവും ജാതീയവും ആയ വാക്കുകളും മറ്റുള്ളവർക്ക് ഒരു ബഹുമാനവും കല്പിക്കാത്ത സ്വഭാവം പ്രചോദിപ്പിക്കുന്നതും ആണ്.,ഇതിൽ പലതും സ്ത്രീവിരുദ്ധവും ജാതിവിരുദ്ധവുമായ വാക്കുകളും മറ്റുള്ളവർക്ക് ഒരു ബഹുമാനവും കല്പിക്കാത്ത സ്വഭാവം പ്രചോദിപ്പിക്കുന്നതും ആണ്.
ഇതൊക്കെ കണ്ടിട്ടാണോ പുതുതലമുറ വളരണ്ടത്?,ഇതൊക്കെ കണ്ടിട്ടാണോ പുതുതലമുറ വളരേണ്ടത്?
ഇനി ഇതിലൊന്നും ഇല്ല എങ്കിലും ഇവ നമുക്ക് ഉണ്ടാക്കുന്ന അടുത്തൊരു പ്രശ്നം ആണ് നമ്മുടെ ശ്രദ്ധചെലുത്താൻ പറ്റുന്ന സമയം കുറക്കുന്നത്.,നി ഇതിലൊന്നും ഇല്ല എങ്കിലും ഇവ നമുക്ക് ഉണ്ടാക്കുന്ന അടുത്തൊരു പ്രശ്നം  നമുക്ക് ശ്രദ്ധ കേന്ദ്രീകരിക്കാൻ കഴിയുന്ന സമയം കുറയ്ക്കുന്നു എന്നതാണ്.  
സാമൂഹ്യമാധ്യമങ്ങളിലെ പല വീഡിയോകളുടെയും ഉള്ളടക്കം ഇപ്പൊ ചെറുതായി ചെറുതായി വരികയാണ്.,സമൂഹമാധ്യമങ്ങളിലെ പല വീഡിയോകളുടെയും ഉള്ളടക്കം ഇപ്പൊ ചെറുതായി ചെറുതായി വരികയാണ്.
അതിനനുസരിച്ച് നമ്മുടെ അറ്റെൻഷൻ സ്പാൻ അധവാ നമ്മുക്ക് എന്തെങ്കിലും ഒരു കാര്യത്തിൽ ശ്രദ്ധ കൊടുക്കാൻ പറ്റുന്ന സമയം കുറഞ്ഞുവരികയാണ്.  ,അതിനനുസരിച്ച് നമ്മുടെ അറ്റെൻഷൻ സ്പാൻ അഥവാ നമ്മുക്ക് എന്തെങ്കിലും ഒരു കാര്യത്തിൽ ശ്രദ്ധ കൊടുക്കാൻ പറ്റുന്ന സമയം കുറഞ്ഞുവരികയാണ്.  
പണ്ട് നീളമുള്ള വിഡിയോകൾ സുഖമായി കണ്ടിരുന്ന നമ്മൾ ഇപ്പോൾ റീൽ കാലഘട്ടത്തിൽ എത്തുമ്പോൾ 30 സെക്കന്റ്  നീളമുള്ള റീൽ പോലും ഓടിച്ചു വായിച്ചു കാണുകയാണ്  ,പണ്ട് നീളമുള്ള വിഡിയോകൾ സുഖമായി കണ്ടിരുന്ന നമ്മൾ ഇപ്പോൾ റീൽ കാലഘട്ടത്തിൽ എത്തുമ്പോൾ 30 സെക്കന്റ്  നീളമുള്ള റീൽ പോലും ഓടിച്ചു കാണുകയാണ്.
മറ്റൊരു പ്രശ്നം ഇവ ആൾക്കാരിൽ ഉണ്ടാക്കുന്ന അമത പ്രതീക്ഷകളും സ്വന്തം കഴിവിനെ കുറച്ചുകാണുതുമാണ്.,മറ്റൊരു പ്രശ്നം ഇവ ആൾക്കാരിൽ ഉണ്ടാക്കുന്ന അമിത പ്രതീക്ഷകളും സ്വന്തം കഴിവിനെ കുറച്ചുകാണുതുമാണ്.
1. ഒരു മോഡലിനെ കണ്ടോ എന്ത് ഭംഗിയാ 2. .',1.ആ മോഡലിനെ കണ്ടോ എന്ത് ഭംഗിയാ 2. ! '
അല്ലെങ്കിൽ 'അയാളുടെ കഴിവ് നോക്ക് ' എന്നൊക്കെ പറഞ്ഞ്.,അല്ലെങ്കിൽ 'അയാളുടെ കഴിവ് നോക്ക് ' 
"ഓ നിനക്ക് ഒരു കഴിവും ഇല്ലല്ലേ ' , അതോ 'നിനക്ക് കൂട്ടിന് ആരുമില്ലെടാ ' എന്നൊക്കെ ഉള്ള കമന്റുകളും മറ്റും കണ്ട് മനസ്സുനൊന്ത് മാനസിക പ്രശ്നങ്ങൾ വരെ ആളുകൾക്ക് വരാം.","ഓ നിനക്ക് ഒരു കഴിവും ഇല്ലല്ലേ ' , അതോ 'നിനക്ക് കൂട്ടിന് ആരുമില്ലേടാ  ' എന്നൊക്കെ ഉള്ള കമന്റുകളും മറ്റും കണ്ട് മനസ്സുനൊന്ത് മാനസിക പ്രശ്നങ്ങൾ വരെ ആളുകൾക്ക് വരാം."
കുട്ടികളിൽ പോലും പല പ്രശ്നങ്ങൾ ഇതു കാരണം ഉണ്ടാകുന്നുണ്ട്,കുട്ടികളിൽ പോലും പല പ്രശ്നങ്ങൾ ഇതു കാരണം ഉണ്ടാകുന്നുണ്ട്.
അഡോളസൻസ് 'എന്ന ഒരു ടിവി സീരീസ് ഇതിന പറ്റി പ്രതിപാദിക്കുന്നുണ്ട്.,അഡോളസൻസ് 'എന്ന ഒരു ടിവി സീരീസ് ഇതിനെ പറ്റി പ്രതിപാദിക്കുന്നുണ്ട്.
1. ഇത്രയൊക്കെ കുറ്റം പറഞ്ഞാലും 2.  സാമൂഹ്യമാധ്യമങ്ങൾ ഉണ്ടാക്കുന്ന നന്മയും നമ്മൾ മറക്കാൻ പാടില്ല.,1. എത്രയൊക്കെ കുറ്റം പറഞ്ഞാലും 2. സമൂഹമാധ്യമങ്ങൾ ഉണ്ടാക്കുന്ന നന്മയും നമ്മൾ മറക്കാൻ പാടില്ല.
ഇന്ന് ആർക്ക് വേണമെങ്കിലും സമൂഹത്തിൽ ഒരു മാറ്റം സൃഷ്ടക്കാം.,ഇന്ന് ആർക്ക് വേണമെങ്കിലും സമൂഹത്തിൽ ഒരു മാറ്റം സൃഷ്ടിക്കാം.
വെറുമൊരു മൊബൈൽ ഫോൺ കൊണ്ട്,വെറുമൊരു മൊബൈൽ ഫോൺ കൊണ്ട്.
നമ്മുടെ സമൂഹത്തിൽ നടക്കുന്ന പല അനീതികളും കൊള്ളരുതായ്മകളും പുറത്തുകൊണ്ടു വരാൻ ഇന്ന് സാമൂഹമാധ്യമങ്ങൾക്ക് 2. ആയിട്ടുണ്ട്.,നമ്മുടെ സമൂഹത്തിൽ നടക്കുന്ന പല അനീതികളും കൊള്ളരുതായ്മകളും പുറത്തുകൊണ്ടു വരാൻ ഇന്ന് 1. സമൂഹമാധ്യമങ്ങൾക്ക് 2. കഴിയുന്നുണ്ട് .
എത്രയോ വാർത്തകൾ ആദ്യം നമ്മൾ ഇതിലൂടെ അറിയുന്നു.,എത്രയോ വാർത്തകൾ നമ്മൾ ആദ്യം ഇതിലൂടെ അറിയുന്നു.
പല പ്രതിഷേധങ്ങളും തുടങ്ങുന്നത് ട്വിട്ടറും ഇൻസ്റ്റഗ്രാമും പോലത്തെ മാധ്യമങ്ങളിലൂടെയാണ്.,പല പ്രതിഷേധങ്ങളും തുടങ്ങുന്നത് ട്വിട്ടറും ഇൻസ്റ്റഗ്രാമും പോലെയുള്ള മാധ്യമങ്ങളിലൂടെയാണ്.
ഇത് കൂടാതെ ഒട്ടനേകം നല്ല ക്രിയാത്മകമായ പ്രവത്തികൾക്കും ഇവ കാരണമായിട്ടുണ്ട്.,ഇത് കൂടാതെ ഒട്ടനേകം നല്ല ക്രിയാത്മകമായ പ്രവൃത്തികൾക്കും ഇവ കാരണമായിട്ടുണ്ട്.
മാത്രമല്ല എത്രയോ മികച്ച കലാകാരന്മാർക്ക് നല്ല ഒരു വേദികൂടെയാണ് സാമൂഹ്യമാധ്യമങ്ങൾ.,മാത്രമല്ല എത്രയോ മികച്ച കലാകാരന്മാർക്ക് നല്ല ഒരു വേദികൂടെയാണ് സമൂഹമാധ്യമങ്ങൾ .
"എത്ര എത്ര പാട്ടുകാർ, ചിത്രകാരന്മാർ, ഫോട്ടോഗ്രാഫർ, അതുപോലെ പല നല്ല കലാകാരന്മാരേയും നമുക്ക് ഇതിൽ കാണാം.","എത്ര എത്ര പാട്ടുകാർ, ചിത്രകാരന്മാർ, ഫോട്ടോഗ്രാഫർമാർ, അതുപോലെ പല നല്ല കലാകാരന്മാരേയും നമുക്ക് ഇതിൽ കാണാം."
"പിന്നെ എന്തെങ്കിലും ഒരു സാധനം വാങ്ങാൻ 1. നോക്കാൻ നമുക്ക് ആദ്യം പോയി അഭിപ്രായം 2. ചോദിക്കാം, ആളുകളുടെ അഭിപ്രായം കാണാം , ഇതിൽ സത്യവും കള്ളവും ഉണ്ടാവാം.","പിന്നെ എന്തെങ്കിലും ഒരു സാധനം വാങ്ങാൻ നമുക്ക് ആദ്യം പോയി അഭിപ്രായം 2. നോക്കാം , ആളുകളുടെ അഭിപ്രായം കാണാം , ഇതിൽ സത്യവും കള്ളവും ഉണ്ടാവാം."
അത് തിരിച്ചറിയേണ്ടത് നമ്മടെ ജോലിയാണ്.,അത് തിരിച്ചറിയേണ്ടത് നമ്മുടെ ജോലിയാണ്.
എന്തിനെയും പോലെ 1. സാമൂഹ്യമാധ്യമങ്ങൾക്കും നല്ലതും 2. ദേഷവുമുണ്ട്,എന്തിനെയും പോലെ 1. സമൂഹമാധ്യമങ്ങൾക്കും നല്ലതും 2. ചീത്തയുമുണ്ട്
അതിന്റെ നന്മയെ മാത്രമെടുത്ത് 1. ദോഷത്തെ കളയുകയാണ് നമ്മൾ 2. വേണ്ടത്.,അതിന്റെ നന്മയെ മാത്രമെടുത്ത് 1. തിന്മയെ കളയുകയാണ് നമ്മൾ 2. ചെയ്യണ്ടത് .
ശരിയായ രീതിയിൽ ഉപയോഗിക്കുകയാണെങ്കിൽ വളരെയധികം ഉപയോഗം തരുന്ന ഒന്നാണ് ഇവ.,ശരിയായ രീതിയിൽ ഉപയോഗിക്കുകയാണെങ്കിൽ വളരെയധികം ഉപയോഗം തരുന്ന ഒന്നാണ് ഇത്.
എന്തിരുന്നാലും ഇവയുടെ ദോഷത്തിൽ പെട്ടിരിക്കാതിരിക്കുവാൻ നമ്മൾ ശ്രമിക്കണം.,എന്തിരുന്നാലും ഇവയുടെ ദോഷത്തിൽ പെടാതിരിക്കുവാൻ നമ്മൾ ശ്രമിക്കണം.
ഇവയെ ക്രിയാത്മകതയുടെയും നല്ല വാഗ്വദങ്ങളുടെയും സമൂഹത്തിന്റെ മാറ്റത്തിന് കാരണമാക്കുന്ന ചലനങ്ങളുടേയും ഇടമാക്കി മാറ്റാൻ നമുക്ക് സാധിക്കട്ടെ.,ഇവയെ ക്രിയാത്മകതയുടെയും നല്ല വാഗ്വാദങ്ങളുടെയും സമൂഹത്തിന്റെ മാറ്റത്തിന് കാരണമാക്കുന്ന ചലനങ്ങളുടേയും ഇടമാക്കി മാറ്റാൻ നമുക്ക് സാധിക്കട്ടെ.
,
ജീവിതത്തിൽ ആദ്യമായിട്ടു മാറിതാമസിക്കാനും പുതിയതായി കിട്ടിയ ജോലിക്കും വേണ്ടി വീട് വിട്ട് പോകുന്ന ദിവസം ആദ്യമൊക്കെ വലിയ സന്തോഷമായിരുന്നു.,ജീവിതത്തിൽ ആദ്യമായിട്ടു മാറിതാമസിക്കാനും പുതിയതായി കിട്ടിയ ജോലിക്കും വേണ്ടി വീട് വിട്ട് പോകുന്ന ദിവസം വലിയ സന്തോഷമായിരുന്നു.
പിന്നീട് വീട്ടുകാരെയും കൂട്ടുകാരെയും അമ്മയെയും ഒക്കെ വേർപിരയേണ്ടി വരുമല്ലോ എന്നൊരു ദുഃഖം കൂടി ഉണ്ട്.,പിന്നീട് വീട്ടുകാരെയും കൂട്ടുകാരെയും അമ്മയെയും ഒക്കെ വേർപിരിയേണ്ടി വരുമല്ലോ എന്നൊരു ദുഃഖം കൂടി ഉണ്ട്.
എന്തിരുന്നാലും സങ്കടം ഒന്നും പുറത്തു കാണിക്കാതെ വലിയത് എന്തോ നേടാൻ പോകുന്ന സന്തോഷം പുറത്ത് കാട്ടിക്കൊണ്ട് ഒരു ചെറു പുഞ്ചിരിയോടെയാണ് ആ ദിവസം എഴുന്നേൽക്കുന്നത്.,എന്തിരുന്നാലും സങ്കടം ഒന്നും പുറത്തു കാണിക്കാതെ വലുത് എന്തോ നേടാൻ പോകുന്ന സന്തോഷം പുറത്ത് കാട്ടിക്കൊണ്ട് ഒരു ചെറു പുഞ്ചിരിയോടെയാണ് ആ ദിവസം എഴുന്നേൽക്കുന്നത്.
ബാഗ് എല്ലാം കത്തിനിറച്ച് ഇരുപത്തിരണ്ട് കിലോ തുണിയും മറ്റ് സാധനങ്ങളും എടുത്ത് ഇറങ്ങി.,ബാഗ് എല്ലാം കുത്തിനിറച്ച് ഇരുപത്തിരണ്ട് കിലോ തുണിയും മറ്റ് സാധനങ്ങളും എടുത്ത് ഇറങ്ങി.
ഉറ്റ ബന്ധുക്കൾ അവസാനമായിട്ട് കാണാൻ എന്ന പോലെ രാവിലെ തന്നെ എത്തിയിരുന്നു,ഉറ്റ ബന്ധുക്കൾ അവസാനമായിട്ട് കാണാൻ എന്ന പോലെ രാവിലെ തന്നെ എത്തിയിരുന്നു.
അവർക്കും ചെറിയ വിഷമം കാണും,അവർക്കും ചെറിയ വിഷമം കാണും.
മുറ്റത്ത് അപ്പുവും കിങ്ങിണിയും കുഞ്ഞങ്ങളും എല്ലാം ഉണ്ട്.,മുറ്റത്ത് അപ്പുവും കിങ്ങിണിയും കുഞ്ഞുങ്ങളും എല്ലാം ഉണ്ട്.
വീട്ടിൽ ഏറ്റവും കൂടുതൽ പിരിയാൻ ദുഃഖം ഉള്ളത് അമ്മ കഴിഞ്ഞൽ പിന്നെ ഈ പൂച്ചകളാണ്.,വീട്ടിൽ ഏറ്റവും കൂടുതൽ പിരിയാൻ ദുഃഖം ഉള്ളത് അമ്മ കഴിഞ്ഞാൽ പിന്നെ ഈ പൂച്ചകളാണ്.
വീട്ടിലുണ്ടായിരുന്നപ്പോഴൊക്കെ ബോർ അടിക്കാതെ അവറ്കളോടു കൂടെ സമയം ചിലവഴിക്കാൻ വലിയ ഇഷ്ടം ആയിരുന്നു.,വീട്ടിലുണ്ടായിരുന്നപ്പോഴൊക്കെ ബോർ അടിക്കാതെ അവറ്റകളോടു കൂടെ സമയം ചിലവഴിക്കാൻ വലിയ ഇഷ്ടം ആയിരുന്നു
ഇനി സമയം കൊല്ലാൻ പുതിയ എന്തെങ്കിലും വഴി കണ്ടുപിടിക്കണം.,ഇനി സമയം കളയാൻ  പുതിയ എന്തെങ്കിലും വഴി കണ്ടുപിടിക്കണം.
അങ്ങനെ പെട്ടി എല്ലാം തകി ഇറങ്ങിയപ്പോൾ പത്തു മണി ആയി.,അങ്ങനെ പെട്ടി എല്ലാം തൂക്കി  ഇറങ്ങിയപ്പോൾ പത്തു മണി ആയി.
ഉച്ചയ്ക്കാണ് വിമാനം ഉള്ളത്.,ഉച്ചയ്ക്കാണ് വിമാനം.
അതുകൊണ്ട് പത്രണ്ട് മണിക്കു മുമ്പേ വിമാനത്താവളത്തിൽ എത്തണം,അതുകൊണ്ട് പത്രണ്ട് മണിക്കു മുമ്പേ വിമാനത്താവളത്തിൽ എത്തണം.
രാവിലെ വിശപ്പ് ഉണ്ടായില്ല,രാവിലെ വിശപ്പ് ഉണ്ടായില്ല.
അതുകൊണ്ട് വഴിയരികിൽ കാറു നിർത്തി 1.  ഒരു കരിക്കു വാങ്ങി തന്നു എന്റെ 2. അച്ചൻ.,അതുകൊണ്ട് വഴിയരികിൽ കാറു നിർത്തി അച്ഛൻ എനിക്ക് ഒരു കരിക്കു വാങ്ങി തന്നു.
അമ്മയുടെ മഖത്ത് നല്ല സങ്കടം ഇല്ലാതില്ല.,അമ്മയുടെ മുഖത്ത് നല്ല സങ്കടം ഇല്ലാതില്ല.
പക്ഷെ എന്നിക്കന്തോ നല്ല സങ്കടം വന്നു.,പക്ഷെ എനിക്കെന്തോ നല്ല സങ്കടം വന്നു.
ഞാൻ ആരും കാണാതെ കണ്ണനീർ തുടച്ചു.,ഞാൻ ആരും കാണാതെ കണ്ണുനീർ തുടച്ചു.
പിന്നെ പതയെ പുറത്തോട്ടു നോക്കി ഇരുന്നു.,പിന്നെ പതിയെ പുറത്തോട്ടു നോക്കി ഇരുന്നു.
പതിനൊന്ന് അര മണി ആയപ്പോൾ വിമാന താവളത്തിൽ എത്തി.,പതിനൊന്നര മണി ആയപ്പോൾ വിമാന താവളത്തിൽ എത്തി.
അച്ചൻ വണ്ടി ഒതുക്കി തിരിച്ച് വരും വരെ അമ്മ എന്റെ കൂടെ നിന്നു.,അച്ഛൻ വണ്ടി ഒതുക്കി തിരിച്ച് വരും വരെ അമ്മ എന്റെ കൂടെ നിന്നു.
എനിക്കും വിഷമം 1.  അമ്മയ്ക്കും വിഷമം.,"എനിക്കും വിഷമം 1. , അമ്മയ്ക്കും വിഷമം."
അമ്മ സ്ഥിരം ഉപദശങ്ങൾ ആവർത്തിക്കാൻ തുടങ്ങി.,അമ്മ സ്ഥിരം ഉപദേശങ്ങൾ ആവർത്തിക്കാൻ തുടങ്ങി.
"നല്ലതു പോലെ ഭക്ഷണം കഴിക്കണം 1.സമയത്ത് ഉറങ്ങണം, മരുന്നൊക്കെ മുടങ്ങാതെ കഴിക്കണം.","നല്ലതു പോലെ ഭക്ഷണം കഴിക്കണം 1., സമയത്ത് ഉറങ്ങണം, മരുന്നൊക്കെ മുടങ്ങാതെ കഴിക്കണം."
വരുമ്പോൾ ചെറിയ പണി  ഉണ്ടായിരുന്നു.,വരുമ്പോൾ ചെറിയ പനി ഉണ്ടായിരുന്നു.
